id,customer_id,product_id,quantity,amount,status,order_date
1,1,3,5,2499.95,delivered,2024-01-10
2,2,1,2,1199.98,delivered,2024-01-15
3,3,4,10,399.90,shipped,2024-02-01
4,1,2,1,849.99,delivered,2024-02-14
5,4,5,3,1049.97,processing,2024-02-20
6,5,1,8,4799.92,delivered,2024-03-05
7,6,3,2,999.98,cancelled,2024-03-10
8,2,4,4,159.96,delivered,2024-03-22
9,7,2,1,849.99,shipped,2024-04-01
10,3,1,6,3599.94,processing,2024-04-15
11,8,5,2,699.98,delivered,2024-04-18
12,1,4,20,799.80,delivered,2024-05-02
